Aceleracion_X;Aceleracion_Y;Aceleracion_Z
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.04;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.04;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.04;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.04;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.04;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
-0.00;-0.04;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.04;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.04;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.04;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.01;-0.03;1.01
0.00;-0.03;1.01
0.00;-0.03;1.01
